Sample_idx,Station,Depth,Classical T_r,Classical T_r err,MC T_r,MC T_r std,Classical zeta,Classical zeta err,MC zeta,MC zeta std,Classical omega,Classical omega err,MC omega,MC omega std,S
0,5.0,28.47016337,-0.6987845096820686,0.2242871271055602,-0.6937154008273673,0.41262456569699024,0.0002161662240753,3.2591764652368544e-05,0.000216259966955531,6.0534264030736904e-05,-0.0110606233248492,0.0116858827960496,-0.011001588695988962,0.021317870403166683,34.02689981
10,5.0,3910.299467,-0.2182813050389357,0.1868278322741144,-0.21816098002766135,0.3186859562006159,0.0004789644404675,2.7074518694597668e-05,0.0004787763733521895,4.641901282398685e-05,-0.0116087074145581,0.0091290247547719,-0.011776287632837695,0.015559243210604742,34.94135377
11,8.0,29.75149432,-1.0569079714897018,0.2814315029116901,-1.0597165190320283,0.43077110925663636,9.191798406452542e-05,3.988746713909708e-05,9.071079741891885e-05,6.033226357279623e-05,0.059935496024078,0.0137220061545812,0.05960928369336942,0.02100787999707202,33.47240735
12,8.0,99.10104584,0.7956593131614695,0.5290608619881092,0.7964776501739083,0.4208936035690198,0.0002962908301131,7.15122464375674e-05,0.00029580615946954837,5.6552485503207695e-05,0.0605974779979342,0.0248427189316455,0.06042482353443403,0.01968842613669588,34.39143464
13,8.0,296.7392011,2.569187796998013,1.153370724756847,2.5811428475454368,0.5271696831320747,0.0001862054249426,0.0001578132270971,0.0001869111947453969,7.23828457990009e-05,0.0159373091234487,0.052892876329535,0.01619487219215793,0.024339845551245614,34.86418486
14,8.0,494.506771,2.2477147740145424,0.0185781743754544,2.243264366180498,0.3723991677124406,0.0001421523779884,1.887849779581024e-06,0.00014144960815680875,3.8105470604887255e-05,0.03419850949813,0.0008144212412699,0.03389428690912798,0.0163003866594713,34.88677707
15,8.0,690.786058,0.6525105403977197,0.3935083503519817,0.6496580116827995,0.556796652781672,0.0002600431828826,6.321458274055669e-05,0.0002582662727126023,8.918831648581844e-05,-0.0305827512506534,0.0182746048626142,-0.031079531719354177,0.025882542669294767,34.89263696
16,8.0,988.1447356,1.6886339965522734,0.4967777230224414,1.7139165126470886,0.6643228485633249,0.0003615143038206,5.4499259936223866e-05,0.00036227269788811504,7.238231604325343e-05,0.0475544886736292,0.0223398655326926,0.048278102112731314,0.029943654494099345,34.90146011
17,8.0,1479.814036,1.0762135418634216,0.2267908757251844,1.0786808615343124,0.42947687134572454,0.00012498181174,3.53118134133781e-05,0.0001238199730437131,6.706017511493908e-05,0.0502097298447624,0.010756736551644,0.050207793734170704,0.02036296277478834,34.91411563
18,8.0,1970.417214,0.2073345351291687,0.204011956341009,0.21435191977287926,0.41543971019127746,0.0001120814205942,2.9298772772300536e-05,0.00011149058304481809,5.840963183472704e-05,0.009539468288415,0.0108042130717982,0.009625067014866848,0.02210693830987769,34.9199713
19,8.0,2459.812922,0.2927010212424265,0.4074104708547053,0.29276912351277035,0.4938098304950237,0.0002523248517943,6.239376818341847e-05,0.00025123882627095675,7.510429531391883e-05,0.0216331275930315,0.0200732085474306,0.021337755722791,0.024285946849831725,34.92471731
1,5.0,98.92659273,0.3775443196540388,0.1168760344454462,0.37972705851933564,0.4349191217259958,0.0003259119477823,1.614323064837586e-05,0.0003251809243853155,6.061498709483535e-05,0.0268531545077819,0.0057696705180831,0.02674989418298154,0.021528088970562867,34.51654568
20,8.0,2840.567937,0.3557192403673722,0.791584684718441,0.372001342584213,0.5924084806691441,0.0002067554551346,0.0001110760234722,0.00020690749956750904,8.079692479512397e-05,0.0321667240244643,0.041466377537061,0.03262560317974019,0.031173115950808714,34.93139118
21,8.0,2889.072459,0.5260326822831827,0.3375409361771645,0.5308291429149017,0.4390319144719224,0.000212810718276,4.558929504778964e-05,0.00021252767641906733,5.958478534565822e-05,0.0362213736564459,0.0163825607323911,0.036342145641279834,0.02123044553059476,34.93226485
22,16.0,29.45964658,-2.7524445335094057,0.518284666686284,-2.7532056976937964,0.44817325951285486,0.0001382994654504,9.069914326961866e-05,0.00013768897658792908,7.753613603859292e-05,-0.030339020335352,0.0307036618299022,-0.03059816779571233,0.026750020387618832,33.17349573
23,16.0,98.81147186,1.3074057680776665,0.501092897239491,1.37519824110589,1.6515497385369895,0.0001770425552587,3.203945630478311e-05,0.000177724171743139,0.00010662728497564808,0.1033457257177145,0.0231461570914327,0.10375237708812315,0.0755548115614428,34.24053821
24,16.0,296.8147005,3.709599652688224,0.3153395824759848,3.720463546698206,0.46829172601377683,0.0001955934008576,3.755385638390408e-05,0.000195549569932191,5.535559595937694e-05,0.0734219284798729,0.0141037624851237,0.07378221657260074,0.020877287276712432,34.87360805
25,16.0,494.1225872,2.442013628610643,0.1741403680185975,2.446878158083585,0.6507602306183848,0.0005006406996326,1.898867077842007e-05,0.0004989915461802613,7.137837262097552e-05,0.0325002610543489,0.0077411530691652,0.03241110624792117,0.02885429112231131,34.89564116
26,16.0,691.226781,2.1501309171078917,0.1579139056998825,2.161376240328801,0.6774434436471665,0.0001498650722314,1.6703503693823374e-05,0.00014920692644375784,7.159364600245296e-05,0.0511665049569277,0.007052073598196,0.05129076606781073,0.030318918125600215,34.89103853
27,16.0,987.0985638,0.6196128778953873,0.4502786417415613,0.6266060484609299,0.48146636629820866,0.0003400437463492,8.046917570438978e-05,0.0003397057740585214,8.62534767655942e-05,-0.0180909257691047,0.0224085455517002,-0.01805224036858863,0.02397533517146036,34.90282231
28,16.0,1969.221408,0.378021701215967,0.2180877651231867,0.3784896573674794,0.4694191504902493,0.0001156335686878,2.893097541604317e-05,0.00011433163527040436,6.276253031865055e-05,0.0209032789064062,0.0107209684369702,0.02070921930244286,0.023072558930677927,34.92139936
29,16.0,2946.896201,-0.2738508885804002,0.2393403977401088,-0.27604783280915407,0.45121277304480295,7.85994476357783e-05,3.296416978990777e-05,7.776106970889239e-05,6.260140469317978e-05,-0.0103050121576027,0.0125091402170559,-0.010734198275733539,0.023539262681969864,34.92966108
2,5.0,296.9473792,3.5486667818481785,0.300227735036229,3.555814585008385,0.44999803798834676,0.0001990687839976,3.694557275997387e-05,0.00019982535911941502,5.476768415388486e-05,0.0478348241922229,0.0139701922345391,0.04795875957937251,0.020994064115160967,34.87876659
30,16.0,3434.23702,-0.5333117204808734,0.6074995680495179,-0.5191954513204963,0.6052785727674277,0.0001065832317262,8.400069294353457e-05,0.00010693883521786851,8.518955344170836e-05,-0.0104675265310302,0.0358090196176204,-0.010289680601628824,0.03579387586340912,34.93618206
31,16.0,3920.302221,0.3411892390386531,0.6221809315710395,0.34538779399516395,0.4699307161227723,0.0001669921408184,9.39402549029861e-05,0.0001670928270305276,7.044561405425606e-05,0.0304356764857655,0.029327443939859,0.03039343049008286,0.022242500046432613,34.94150323
32,16.0,4335.690235,0.0140371455962195,0.4982835606322324,0.021261765634963507,0.47059438154439237,0.0002965533904325,8.00983153645155e-05,0.0002963398179851316,7.531045158257535e-05,-0.0025028278145266,0.028223680663667,-0.002371692046452284,0.02679756250129354,34.94214988
33,20.0,29.912123,-0.5267045030005846,0.8414080310215034,-0.5372677667077915,0.6639849388894676,0.0002163097435446,7.779261355624821e-05,0.00021593885418386556,5.967863622545277e-05,0.1111554367286727,0.044114329513155,0.10996678723716839,0.03501718449994957,32.74107859
34,20.0,242.4192417,2.915277936369894,0.6258768729456753,2.916415681338157,0.9207346499549407,0.0001766554103076,9.201464777979196e-05,0.00017399442397800978,0.00013491835421605453,0.0250442223227881,0.0286894464646357,0.024319009690982323,0.04229493830805809,34.85878803
35,20.0,493.9807019,1.4923181236134222,0.645181337469742,1.5042776132789057,0.4945059784594671,7.664763331409905e-05,7.716523212452472e-05,7.576341243565685e-05,5.8253245632781e-05,-0.0046365917074652,0.0318914941474334,-0.004342967047615003,0.02451001431356627,34.88787459
36,20.0,691.2720548,2.45793927544249,1.0131650921120772,2.4650403548974125,0.466926826398521,0.0005636992141977,9.906837931842976e-05,0.0005636668743989729,4.652783088961053e-05,0.0591234447661327,0.0478713566856565,0.059188953403072245,0.022058194660289424,34.88788302
37,20.0,1478.651821,0.544180728123965,0.4343557010033462,0.5478960284094633,0.3758244294111611,0.0001435822005295,5.1984289386899896e-05,0.00014310370345386246,4.527545162584471e-05,0.0080861741455742,0.021239188904429,0.008045611461350927,0.01843870063252552,34.91606849
38,20.0,1969.280111,1.9538214846948805,1.6169670327411865,1.9580267900320407,0.7524448252538298,0.0005322374146993,0.0002523892216158,0.0005311568900380758,0.00011848142935856298,0.1139615865589458,0.0670207472544064,0.11365666170287882,0.031035954047155343,34.92719964
39,20.0,2458.615708,0.8611474796533382,0.0442438428203875,0.8744580838950853,0.6617681765583987,0.0001253939037372,4.913527913459967e-06,0.0001249540421730761,7.369380919596601e-05,0.0409093983642946,0.0020361033884734,0.04087625715851046,0.030563291629513743,34.92378212
3,5.0,494.5481263,2.0976362348218807,1.4936393736247304,2.1030896641480887,0.6210241687461723,3.174103334767962e-05,0.0001451854162762,3.237566097687443e-05,6.301045465297942e-05,-0.004191178281637,0.0778693865264963,-0.0045268551945741925,0.0321991413340991,34.91262678
40,20.0,3434.110064,-0.3655376796882823,0.3182340181041148,-0.35976546942861903,0.6899315955735168,7.308886068913407e-05,4.514647139915326e-05,7.177558376091176e-05,9.870613976961324e-05,-0.0358043017203633,0.0143219640147862,-0.036169883495853795,0.031083074998759033,34.93681576
41,20.0,3917.840037,-0.1481281254030706,1.1607060269328058,-0.08015919429653401,1.5134950861735565,0.00019606467903,8.01309967648458e-05,0.00019465906883269824,0.0001037993083988496,0.0010544278322414,0.0579469267481728,0.002063627946439962,0.07497567165596956,34.94178132
42,20.0,4236.283477,-0.175897509288417,0.1086166300314868,-0.17209097353749592,0.5584265570224066,0.0001580335851836,1.2688684548766438e-05,0.00015731186559887801,6.457797878315246e-05,-0.0098643006318077,0.0045872032827065,-0.009831241957652056,0.023547737234486353,34.94248305
43,28.0,29.70348762,-1.6254656349684422,0.4730017231800328,-1.6244731457084536,0.5423779882133701,0.0004897785328749,5.540048788987177e-05,0.0004897858907240481,6.508723854743321e-05,0.0673421580608415,0.0275633239788414,0.0670695730077453,0.03155180653687547,30.29071711
44,28.0,98.86296446,-0.2483477090743424,0.5538674390939622,-0.23900267880266218,0.550376312032448,0.0003858261357227,6.128658028296481e-05,0.0003857374406612574,6.177048506484463e-05,0.0223218981441133,0.0313979212848963,0.02236150432068237,0.031151300115387554,33.7219772
45,28.0,296.7734392,1.997027440888171,0.4413409790168532,1.9975486067044146,0.587423642157984,0.0001678208388006,7.805932423207613e-05,0.00016693246092575056,0.0001051197896213083,0.0123084666397018,0.0248585739792577,0.01188582696485534,0.03308626339974253,34.84249549
46,28.0,494.0627661,2.2624098012724154,0.5852729103245518,2.2627657704934188,0.47052154244144734,0.0005962283498089,6.674226931397446e-05,0.0005961767302370322,5.4664188513601184e-05,0.0581538008682769,0.0329389791510169,0.05798077753918784,0.026300798368565633,34.87033605
47,28.0,691.5625298,1.4255074285305718,0.3090471339161667,1.4297332213714025,0.453253613819111,3.977480173434164e-05,4.037588440768536e-05,3.9036696693636156e-05,6.0191875039826493e-05,0.0250837340946544,0.0150216423051797,0.025103866355176366,0.02197897647718452,34.87583944
48,28.0,986.8709085,4.0251546879570785,1.4135063642848915,4.0391744405038,0.800379747218397,0.0007601548256882,0.0001250659832065,0.0007605903981565073,7.354243456415758e-05,0.1549158983395761,0.0585817954234184,0.1548748796767548,0.03294117414328722,34.88958297
49,28.0,1478.721042,0.9666716932034322,0.427174765438325,0.9921465621864464,0.6517191560445805,0.0001329194193987,4.756352204882497e-05,0.00013367066765695125,7.222045696698355e-05,0.0258266698519135,0.0197694696069916,0.026564122824949066,0.030194275829190025,34.92306874
4,5.0,692.0560526,1.611908055904932,0.203461103688034,1.6267456157988873,0.4899842642515173,5.6897486921965456e-05,3.014122126393705e-05,5.695479135595688e-05,7.25551427100992e-05,0.0133865445262225,0.0105394175247649,0.013925094562694317,0.025409621784209503,34.90318953
50,28.0,1969.18078,0.6362307588412455,0.5320172163512377,0.636204470507767,0.38145774600135063,0.0001980621798421,6.347332985683978e-05,0.00019788221451170134,4.537472810403063e-05,0.0121307528883666,0.0259085950758525,0.01193102629656297,0.0186506502851042,34.94683716
51,28.0,2458.645822,2.0354279465343903,2.079527166198265,2.0335132456017284,0.6703113781787309,-8.598980390365039e-05,0.0002103264276882,-8.632516809803533e-05,6.54854057874045e-05,0.1070082363356619,0.110739183205571,0.10628216566562405,0.03595899368091111,34.9537185
52,28.0,2946.913091,-0.208743141380814,0.4293717574222179,-0.20031296038855342,0.4482919816217982,0.0001779255019498,6.911223474214467e-05,0.00017813411612147015,7.228050041545008e-05,-0.0228269231426339,0.0236317777661008,-0.02269497534169302,0.02468749558902722,34.95513869
53,28.0,3936.544852,0.3282759632819324,0.2159464787575297,0.3351607387101749,0.4767882215644906,0.0003346544740233,3.335002459298591e-05,0.0003343882126162831,7.398726586049931e-05,0.0023783902172522,0.0113543164695662,0.0023713345215918267,0.025181856205283227,34.95515806
54,46.0,29.77446549,-1.485156038585751,0.2653416010897174,-1.4834508792945322,0.5415206883522825,0.0008098409532706,3.183803587745442e-05,0.0008098845166157318,6.51053796032169e-05,0.0551147882381431,0.0155502781911055,0.05460013935426026,0.03176315671647585,30.06290492
55,46.0,98.7922838,-1.685522066353377,3.236733048570885,-1.6226078283005108,1.3782275413253715,0.0002736461013735,0.000250414411124,0.0002724223940546727,0.00011055469302340642,-0.0473779187587429,0.16993183734311,-0.04638543357161097,0.07142664361106922,33.6358462
56,46.0,296.5428446,1.5557036754911384,0.6805459635328758,1.5543249754526132,0.6476676034758705,0.0002047548465624,0.0001120082769958,0.0002028241791203454,0.00010696277476395113,-0.0201992313194988,0.0350041995353382,-0.020927390934381073,0.03343686034691677,34.82599779
57,46.0,494.3120733,1.933925719839699,0.1052135262369663,1.9282672454541665,0.4130801413850395,7.511424338429759e-05,1.4543281070781204e-05,7.399270794846002e-05,5.6900600414979014e-05,0.0150044482380942,0.0052024343224282,0.014489953244192725,0.020450146273089612,34.86986224
58,46.0,691.4833316,1.8143791198561283,0.0397155352515765,1.8156039826487111,0.41463055606478083,0.0003161552153133,5.559254817844731e-06,0.00031615072485946684,5.752903810597593e-05,0.0318711425077523,0.0019412548858603,0.03175836232663696,0.020297241496136837,34.87472725
59,46.0,985.5203409,1.5862138378965445,0.1968140552652849,1.59252336729482,0.4296235665219028,0.0005220785334149,2.4839255346183333e-05,0.0005222199094207061,5.320221037264159e-05,0.0486829549038297,0.0097756819651945,0.04885016258059594,0.021300186182223412,34.89054633
5,5.0,987.4908462,1.1307988649875098,0.4947226887817722,1.1367348232089258,0.42570223309844013,0.0001635431017229,6.588353337097971e-05,0.0001628285693470533,5.637052271901214e-05,0.0149740214008505,0.0244415774552574,0.015220492323524478,0.021113668148909807,34.90546993
60,46.0,2458.666699,-0.964474838381169,0.4954294673541601,-0.9600787139242526,0.48405034986084916,0.0002150152515866,8.759494673065352e-05,0.00021467740470033355,8.553576596060335e-05,-0.064648502459738,0.0243861788308414,-0.06464490567332426,0.023869553601442016,34.9231682
61,46.0,2946.955137,0.6439979278956701,0.9665961527743404,0.6489985435775699,0.3637716620370666,0.000520842221898,0.0001093335157598,0.0005212232179251754,4.247932932975628e-05,0.0129028391705649,0.0461436551950198,0.01298508007119757,0.017255414033915294,34.92914867
6,5.0,1478.968168,0.0462298662692586,0.3007731828794552,0.05125029495571823,0.4565539950202938,4.823088297572151e-05,3.2639934562348256e-05,4.818711299946784e-05,4.933677929681443e-05,-0.0135317415306162,0.0151935563583605,-0.013469967644875501,0.023056370056542375,34.91538929
7,5.0,1969.315623,0.1620817912419342,0.3614539602911373,0.17621263948708496,0.4315735266477462,0.0001304506737201,5.1501815714756647e-05,0.00013120020974197934,6.094647388166488e-05,0.0016721212887908,0.0174801858566105,0.0022078487882104263,0.020807980496936006,34.92129671
8,5.0,2458.758942,0.1724225759677772,0.3780313582145386,0.17213123469507216,0.3242279310103785,0.0004474116869552,5.3458917287270835e-05,0.00044735391065396185,4.536657218550907e-05,0.0041395689397125,0.0179382010921976,0.003988460713129375,0.015416402641600359,34.92824889
9,5.0,2947.597802,-0.1473694319960263,0.1689228800697818,-0.13040432290574855,0.5874492971311122,0.000419863372929,2.4256710767661703e-05,0.00041992687717016397,8.287223318707371e-05,-0.0111366131816782,0.0083023859944635,-0.010676432727639185,0.028941063993912698,34.93495735
