Sample_idx,Station,Depth,Classical T_r,Classical T_r err,MC T_r,MC T_r std,Classical A,Classical A err,MC A,MC A std,Classical R,Classical R err,MC R,MC R std,S
0,5.0,28.47016337,-0.7012622118175125,0.2262127375876342,-0.7073269350547471,0.4156368254166459,0.0002160243252475,3.2553700068013195e-05,0.0002147896733739253,6.052092803104931e-05,-0.0111428310098355,0.0116871391264539,-0.011494080410185271,0.02155858284395118,34.02689981
10,5.0,3910.299467,-0.2172118082216485,0.189632919877966,-0.2159031008095811,0.32024117367783883,0.0004792095943476,2.7186575457253935e-05,0.00047970957596713595,4.631362316630968e-05,-0.0114930713133523,0.0091758264044433,-0.01145843667342116,0.015573222118587807,34.94135377
11,8.0,29.75149432,-1.095937131996604,0.2714692765871794,-1.0946832254332626,0.4019818224110589,9.1297366065766e-05,4.067534531337561e-05,9.1244011474346e-05,6.02781302758368e-05,0.0595614599572598,0.0139442466849603,0.059546952055353645,0.020726089669025036,33.47240735
12,8.0,99.10104584,0.7711247980429208,0.4941489600333916,0.7706316099775673,0.40059805171930946,0.0002974961604121,7.06454811867268e-05,0.00029670764633550845,5.7134528384063905e-05,0.0610833418771616,0.024457671611745,0.061006932424611394,0.019849849986331995,34.39143464
13,8.0,296.7392011,2.5551514014152876,1.138868529223327,2.5597373456589483,0.5091917517817771,0.0001850721979602,0.0001582332490299,0.00018571437021775377,7.176347809088941e-05,0.0153789291849045,0.0529538665842396,0.015653022930230107,0.023685348743450765,34.86418486
14,8.0,494.506771,2.2301477046048226,0.0114925940312344,2.2266125296639014,0.35889092536454653,0.0001415049722951,1.20869682968491e-06,0.00014130143926961052,3.787288404682497e-05,0.0339289667027454,0.0005183962699388,0.033729562382549365,0.016153021809378817,34.88677707
15,8.0,690.786058,0.6562574199909271,0.4046592468275126,0.6579113121848572,0.5657676654573698,0.0002621357343516,6.307013313594899e-05,0.00026240485907674864,8.853632146375333e-05,-0.0300062136722834,0.0183085610868399,-0.030066934744605988,0.025602318790930317,34.89263696
16,8.0,988.1447356,1.6624606895352652,0.4685614172638335,1.6506507905409122,0.6229560239399486,0.0003608693835005,5.385059381764061e-05,0.0003593323107626495,7.164927722788461e-05,0.047390916681735,0.0219883911664309,0.0468492857332403,0.029283705349398354,34.90146011
17,8.0,1479.814036,1.0504773830375314,0.234847354611032,1.0421391057245442,0.42070053782862615,0.0001253594410861,3.7792277987802326e-05,0.00012338866303737955,6.732838368026088e-05,0.0501238584774656,0.0116740557148224,0.04982384683882112,0.020943303602579882,34.91411563
18,8.0,1970.417214,0.2048985541431542,0.2031633731005044,0.20686972499434642,0.410406665978191,0.000111973290549,2.9370357723090755e-05,0.00011153915410415693,5.97622738040837e-05,0.0094492576916618,0.0108557181327085,0.009548467110095224,0.021911072230291748,34.9199713
19,8.0,2459.812922,0.2807128295085959,0.4027206541492824,0.27853710859307923,0.4743973140924975,0.0002514943878988,6.295613148102298e-05,0.0002513927348128996,7.405337190547623e-05,0.0212200711638611,0.0202095144056018,0.021018410154802835,0.02391320430112174,34.92471731
1,5.0,98.92659273,0.3693882337195584,0.1154364012908924,0.37520607044707827,0.4331988242433052,0.0003257732362468,1.6335471803709798e-05,0.00032607054997529775,6.053474489237271e-05,0.026738248380826,0.0058171496341666,0.027090609621317867,0.021859738243100266,34.51654568
20,8.0,2840.567937,0.3250249158009179,0.7878300389763709,0.3315179479206292,0.5519260276693659,0.0002062550194726,0.000111811760223,0.0002057014857126557,8.05698823429745e-05,0.0310033823691113,0.0426385385176142,0.0314000160287027,0.02986074713510161,34.93139118
21,8.0,2889.072459,0.5106876476141924,0.3272960882812077,0.5156239836954429,0.42277573886708414,0.0002125312571911,4.572068774220468e-05,0.00021290808936710385,5.8864667489140834e-05,0.0360200055777533,0.0163600356659418,0.03621184709845652,0.021229876107892003,34.93226485
22,16.0,29.45964658,-2.7406878054734447,0.5345596923796941,-2.744156886394907,0.44543448206221603,0.0001404102595389,9.124146238436723e-05,0.0001405202446386759,7.581289714169661e-05,-0.0291878349634512,0.0308316189455781,-0.029381703132861866,0.025702258772091403,33.17349573
23,16.0,98.81147186,1.2112574749007456,0.3977744891440046,1.2209952845148153,1.457233266740822,0.0001706152870694,2.7497227505440764e-05,0.00016702258623682003,0.00010110892676796693,0.1041918873737958,0.020424297285001,0.10480317494987021,0.07468545722835455,34.24053821
24,16.0,296.8147005,3.6693048757460938,0.2665504504443541,3.6713084954242468,0.43431619723447656,0.0001970601592846,3.405578662551284e-05,0.00019679754642083137,5.5547833514770525e-05,0.0739597210324234,0.0126638437920254,0.07405572136161712,0.020665565047606582,34.87360805
25,16.0,494.1225872,2.4340740592065515,0.1614184996837015,2.4250369586928575,0.6355595057614344,0.0005006739349062,1.817075028609876e-05,0.0005002616558013195,7.163319714143916e-05,0.0326362862710903,0.0073864708923723,0.03220928109256386,0.02908773493290891,34.89564116
26,16.0,691.226781,2.1080289882055054,0.1628513636260279,2.0980711340677405,0.6266479978966213,0.0001482855774597,1.811478397678641e-05,0.00014669817571129345,7.037391863817676e-05,0.0504180005925787,0.0076149666877299,0.04996870989992692,0.029346224692697577,34.89103853
27,16.0,987.0985638,0.6164774789905586,0.4535065869960254,0.6158832633890642,0.48530048447308965,0.0003401751120696,7.997273686655043e-05,0.0003402422597487696,8.646321529649439e-05,-0.0180994797559732,0.0222081183161907,-0.018162004629720153,0.023816735668602883,34.90282231
28,16.0,1969.221408,0.3799124532237439,0.2121133227136984,0.38383085462399974,0.4684323465219367,0.0001159930653449,2.8580924442399787e-05,0.00011644925873479803,6.19369551648786e-05,0.0212151576773087,0.0106344647716988,0.02150218258992825,0.023515815585175823,34.92139936
29,16.0,2946.896201,-0.2758845765971758,0.2409802166235948,-0.27179482675174016,0.4587957391248407,7.851234021724452e-05,3.293081837533891e-05,7.820596410059073e-05,6.325095345279803e-05,-0.0103613090070848,0.0124735742586478,-0.010206744959397869,0.023748470664821393,34.92966108
2,5.0,296.9473792,3.521840655822932,0.2913019082065313,3.5194395508243628,0.42406641355706587,0.0001987874614955,3.745490308641663e-05,0.00019873918305349743,5.485711355460801e-05,0.047533509995414,0.0140981666960706,0.047405852272833594,0.020460569584126856,34.87876659
30,16.0,3434.23702,-0.53299437025555,0.6086136277553319,-0.5277097118564376,0.6121728954232682,0.0001065475709143,8.400694233273308e-05,0.0001059979341979969,8.55057167284609e-05,-0.0103906222585029,0.0354826208850759,-0.009942933844699523,0.03567600505833271,34.93618206
31,16.0,3920.302221,0.3137616671410233,0.6143154908838411,0.31063740895026076,0.445431458837344,0.000165088275748,9.53764148362792e-05,0.0001645587708779788,7.001765522041717e-05,0.0294966312335396,0.0297396925920998,0.02932213619446934,0.02156448853373441,34.94150323
32,16.0,4335.690235,0.0154576251392426,0.4993340180828868,0.019520057473472928,0.4601104775534305,0.0002967139567127,8.008535877499257e-05,0.0002977002330429595,7.478121195183221e-05,-0.0024144801270893,0.0282220776004224,-0.002092724959521457,0.026032657341579307,34.94214988
33,20.0,29.912123,-0.7093313332857499,0.8711518914215566,-0.7110567385453139,0.5940996765905563,0.0002076520674715,8.415485320509431e-05,0.00020715424308044534,5.9178771291495375e-05,0.107202259779425,0.0515096140336685,0.10710304926847318,0.03534961060120947,32.74107859
34,20.0,242.4192417,2.893245726814795,0.6192524562957078,2.888273246607483,0.8706661919245013,0.000175098049817,9.322470780068368e-05,0.00017425932144194304,0.0001325989333107621,0.0242792637593331,0.0290374951253936,0.024156046831730685,0.04097629819969834,34.85878803
35,20.0,493.9807019,1.495221135310782,0.6481703591603718,1.4933917569311768,0.484789099160852,7.68526561494863e-05,7.72062761587771e-05,7.611062862907878e-05,5.7924356022880234e-05,-0.0044773790489159,0.0319042544456742,-0.004577893317313568,0.023821752450984772,34.88787459
36,20.0,691.2720548,2.483225974758524,0.9576806447824822,2.488643428285179,0.4622520590432273,0.0005637378061856,9.693809979429122e-05,0.0005637103856826778,4.588148189473575e-05,0.0622997472732223,0.0481135155979708,0.06258594450699674,0.023186508700919907,34.88788302
37,20.0,1478.651821,0.5404939841283914,0.4313056455600024,0.5398636806265121,0.3687009005897116,0.0001433619111667,5.198170601909917e-05,0.00014321283576634888,4.488434453559258e-05,0.0079301972212803,0.0212450455529418,0.00790214091198619,0.0181614430119178,34.91606849
38,20.0,1969.280111,1.985628160135222,1.5138995064773295,1.9849997608631231,0.7456286631990411,0.0005639859337191,0.0002640708509813,0.0005636553737052072,0.00013002340165825605,0.1212093953371475,0.069139032560741,0.12109174977791436,0.03404779252955487,34.92719964
39,20.0,2458.615708,0.8375554704695481,0.0516805361139201,0.8361389434734192,0.6255311421516074,0.0001245289341133,5.971906498849954e-06,0.00012415662509007418,7.227966998875784e-05,0.0405636124471283,0.0024672114553295,0.040496131220085864,0.029917032617749615,34.92378212
3,5.0,494.5481263,2.0920387659703272,1.494721207495475,2.1030133836007456,0.6615477304366255,3.17041938479283e-05,0.0001451973759482,3.0849724917174156e-05,6.317737207108501e-05,-0.0044775673519419,0.0775777497469164,-0.003846145966985162,0.03422647158109709,34.91262678
40,20.0,3434.110064,-0.3815560707099573,0.336212327748694,-0.3816302918765867,0.7082517380009399,7.285263314758694e-05,4.604653052015337e-05,7.202998418806897e-05,9.728167143382189e-05,-0.0359973427067352,0.0147368990433098,-0.036217426521981254,0.03104527728600347,34.93681576
41,20.0,3917.840037,-0.1488343073808308,1.1592284189875866,-0.16203390141466242,1.4854342242508414,0.0001960406657359,8.008846289157309e-05,0.0001915632839792973,0.00010472711496936719,0.00101934426061,0.0579358529954022,0.0006117056871266714,0.07406009904505592,34.94178132
42,20.0,4236.283477,-0.1771860747104928,0.1104899735097348,-0.18064577792079634,0.5518790140418223,0.0001579912127158,1.2792674992618496e-05,0.0001568214801738665,6.409135196039474e-05,-0.00988117298303,0.0046361859430617,-0.010040039566599795,0.023146211644759152,34.94248305
43,28.0,29.70348762,-1.6102558725852365,0.4390570671305951,-1.6108995985588972,0.5467393806515904,0.0004884166282745,5.264095882122196e-05,0.0004856080945618213,6.438053113326327e-05,0.0708340336900944,0.0274817037757914,0.07095351709994538,0.03413081369668532,30.29071711
44,28.0,98.86296446,-0.2385233467763676,0.5467938418234513,-0.22490733784344835,0.5592092834031388,0.0003857927826817,6.0971832171534714e-05,0.00038535363806264,6.141455075182573e-05,0.0231776555569449,0.0317311734093547,0.02408514290508242,0.03243749207158403,33.7219772
45,28.0,296.7734392,1.995048524514928,0.4390549715937453,1.998505001438337,0.5905440987982108,0.0001677980704084,7.82654440202955e-05,0.00016634966272401457,0.00010565096779917956,0.0122681482398949,0.0250285158747022,0.012337272424702114,0.033621974484240466,34.84249549
46,28.0,494.0627661,2.2772114177311877,0.5436770544519799,2.2756951021674094,0.4631069269892121,0.0005965469202845,6.446590886419259e-05,0.000595237145529131,5.4569108410027746e-05,0.0608944052488873,0.0324017155184459,0.060990394759048876,0.02751125132847723,34.87033605
47,28.0,691.5625298,1.4298607587975265,0.2997537492470842,1.4326802173081974,0.4567520456194011,4.036668612860522e-05,3.98777396948548e-05,3.9888871650315926e-05,6.021152654386817e-05,0.0256191716841158,0.0149230088845189,0.025854928260459157,0.02271235816918867,34.87583944
48,28.0,986.8709085,3.9528005794872865,1.0344201296296842,3.9565351706517933,0.7185046136736397,0.0007609305610975,0.0001056556859552,0.0007604709611056563,7.235201923702295e-05,0.1642780328707788,0.0499529886877965,0.1643588520784845,0.03452254799954876,34.88958297
49,28.0,1478.721042,0.9510744797332488,0.4166770074411773,0.9588382337423024,0.6316030987938788,0.0001321194357603,4.75701573749645e-05,0.00013199630785016246,7.225011279863128e-05,0.0253892146946055,0.0197345399878868,0.025802487094855765,0.029911040277380604,34.92306874
4,5.0,692.0560526,1.6115583635522883,0.2013091469475461,1.6148930205558667,0.48927726021097134,5.702938513209057e-05,3.0145318239604015e-05,5.663315609120731e-05,7.326266213672165e-05,0.0134530259887798,0.0105524819111172,0.01365814821651759,0.025557833380682217,34.90318953
50,28.0,1969.18078,0.627101561040407,0.5267682082251592,0.6235588198622455,0.36866976153527653,0.0001975156883995,6.351698844135934e-05,0.00019699937063407088,4.506637069727006e-05,0.0117375239413653,0.0259370498053489,0.011572171508318898,0.01822339052102662,34.94683716
51,28.0,2458.645822,1.851843265822292,2.0934208932091862,1.8578663302617715,0.6181420158350999,-9.062133639371913e-05,0.0002149991830605,-9.103716966214084e-05,6.509138891402738e-05,0.1022734702295272,0.1252681452046388,0.10276264920882079,0.037130338386068766,34.9537185
52,28.0,2946.913091,-0.2019386908336542,0.4386034432191907,-0.20145521521694515,0.44604280163043025,0.0001789992389762,6.933756655325291e-05,0.0001790678388466082,7.105817660392756e-05,-0.0221927097017479,0.0236471051729138,-0.022110067776818756,0.024063562594529467,34.95513869
53,28.0,3936.544852,0.3287964321707193,0.2155415805886127,0.32830571023018845,0.48716432657222225,0.0003347076959642,3.335286659121651e-05,0.0003339744218905835,7.43304359304992e-05,0.002409779819444,0.011357434348922,0.0024242773395431964,0.025573881074852176,34.95515806
54,46.0,29.77446549,-1.4841093060091042,0.2477721226872191,-1.4828753299330224,0.5346386193006898,0.0008087239054521,3.0342780491340345e-05,0.0008082361613938453,6.499626651143366e-05,0.0568504186372175,0.0153890349085268,0.05698315966302715,0.03317780954854702,30.06290492
55,46.0,98.7922838,-1.7807704729278553,3.432757366089305,-1.8045432872406963,1.5758437754472008,0.000269012255538,0.0002578681816121,0.0002622477927356618,0.00011948688915723814,-0.0510925215436491,0.1719728533303861,-0.05183884175434184,0.07884524508936816,33.6358462
56,46.0,296.5428446,1.561932235594532,0.6922483268937278,1.5604675195404394,0.6491700042055532,0.0002063412059583,0.0001115137012461,0.00020556689358209148,0.00010444679732020779,-0.01967615355159,0.0349704265410599,-0.019837603682511116,0.032799376264438074,34.82599779
57,46.0,494.3120733,1.9330217867969104,0.1039565245067616,1.9334462780881014,0.4095735692917277,7.517993710827178e-05,1.4506726639630658e-05,7.446511149653477e-05,5.705168057978331e-05,0.0150683179759864,0.0052135159188865,0.015099426042666704,0.020536734082904105,34.86986224
58,46.0,691.4833316,1.808096877689949,0.0387244722654606,1.8126719907032123,0.4084682289040356,0.0003163296739879,5.533715168052545e-06,0.00031630725746648806,5.7863686190871436e-05,0.0320548150170921,0.0019515916911528,0.0322480732635528,0.02058807064742154,34.87472725
59,46.0,985.5203409,1.5840911516822822,0.179860415619797,1.5869831046926175,0.41911739743322957,0.0005219965526981,2.321678808459406e-05,0.0005213275421896623,5.4093713767892466e-05,0.0498103924668197,0.0093835081838522,0.04999738443637333,0.021859837172916764,34.89054633
5,5.0,987.4908462,1.1211086858338264,0.4892194690560718,1.1226795584096632,0.40684847371226646,0.0001628549955757,6.604194350025752e-05,0.00016302845315002126,5.558148733224782e-05,0.0145644977680419,0.0244683608009938,0.01462484522712438,0.02037578705844162,34.90546993
60,46.0,2458.666699,-0.9654082448864284,0.5239027905930238,-0.9546258899909639,0.495084750268773,0.0002215472239327,8.75872567456681e-05,0.00022318949951016977,8.37051284738448e-05,-0.0628896312576709,0.0243887876490885,-0.06249550217914243,0.023041832862802973,34.9231682
61,46.0,2946.955137,0.6545844416461902,0.952982042794116,0.6491238212473077,0.3814957086538339,0.0005215466702107,0.0001090071035574,0.000520164308123083,4.2726181112751414e-05,0.0135092819212221,0.0460421656179917,0.013339410032366883,0.018379659457509412,34.92914867
6,5.0,1478.968168,0.0495388694617088,0.3057344867783245,0.05371023584744212,0.45401972649333855,4.8427710813810944e-05,3.282953211684405e-05,4.775979068173665e-05,4.911765322772671e-05,-0.0132712875839418,0.0152458137973744,-0.013123880115975773,0.02262964790627228,34.91538929
7,5.0,1969.315623,0.1619083959636334,0.3609473754952561,0.16817341502035882,0.42064917862308,0.00013043658537,5.150722189469645e-05,0.0001311713260710667,5.946660512926021e-05,0.0016648072386389,0.0174816739791241,0.001985827250634605,0.020418499087410225,34.92129671
8,5.0,2458.758942,0.1704579723996365,0.3767221838796661,0.1703853719109191,0.31416358490770335,0.0004472357446578,5.347972307016386e-05,0.00044720700054378797,4.480989215468421e-05,0.0040510638089198,0.0179404703556199,0.004020543633162973,0.014973629179322311,34.92824889
9,5.0,2947.597802,-0.1472944923584195,0.1710259201995965,-0.1415143689265207,0.5924649349053109,0.0004199867411948,2.4313701536246764e-05,0.0004207197801525885,8.442913938149872e-05,-0.0110756859954128,0.0083261375034133,-0.010912306296229782,0.028779134994707273,34.93495735
